v_products_model,v_manufacturers_name,v_manufactures_code,v_products_image,v_products_price,v_rrp,v_web_price,v_rate_1,v_rate_2,v_rate_3,v_show_price,v_multi_quantity,v_multi_price,v_trade_multi_quantity,v_trade_multi_price,v_box_quantity,v_status,v_products_name_1,v_products_description_1,v_categories_name_1,v_product_style,v_product_finish,v_product_material,v_product_colour,v_products_weight,v_lumens,v_colour_temp,v_energy_class,v_cri,v_hours,v_bulbs_qty,v_bulbs_watage,v_bulb_type,v_bulb_cap,v_bulbs_inc,v_ip_rating,v_bulbs_s1,v_info,v_product_length,v_dimensions_width,v_dimensions_height,v_product_dia,v_dimensions_depth,v_product_min_drop,v_product_max_drop,v_xsell,v_product_voltage,v_product_guarantee,v_product_saftey_class,v_product_transformer,v_product_driver,v_product_cut_out,v_product_recess,v_product_surface_temp,v_product_tilt,v_product_cable,v_product_options,v_product_nonreturnable,v_product_carrage,v_product_statements,v_product_variant,v_priortity,v_family_caption,v_common_images,v_sale_price,v_now_price
A18 13810,Ansell,AN A70MHL/RTS,products/AN A70MHL-RTS,22.00,28.00,23.00,17.75,22.40,21.00,B,0,0,0,0.00,0,1,70W Metal Halide Rectangular HQI-TS,"*Recessed adjustable metal halide downlight with 70 degree tilt angle *Fitting pre-wired with Wieland ST18 connector for fast installation *Available as 70W or 150W *Requires control gear, (ordered seperately)**",69*70*66,2,4,8,23,,0,0,0,0,,1,70,HQI-TS,0,,20,1 x 70w  HQI-TS,0,230,140,,,,,,A18 14871,,,,,,220 x 125,102,,70,,,1,,,,,,,,
A18 13811,Ansell,AN A150MHL/RTS,products/AN A150MHL-RTS,22.00,28.00,23.00,17.75,22.40,21.00,B,0,0,0,0.00,0,1,150W Metal Halide Rectangular HQI-TS,"*Recessed adjustable metal halide downlight with 70 degree tilt angle *Fitting pre-wired with Wieland ST18 connector for fast installation *Available as 70W or 150W *Requires control gear, (ordered seperately)**",69,2,4,8,23,,0,0,0,0,,1,150,HQI-TS,0,,20,1 x 150w  HQI-TS,0,230,140,,,,,,A18 14872,,,,,,220 x 125,102,,70,,,1,,,,,,,,
A18 14340,Ansell,AN AWW150T,products/AN AWW150T,50.00,62.00,50.00,40.09,49.60,46.50,B,0,0,0,0.00,0,1,"150W Metal Halide Wallwash CDM-T, White","*Recessed adjustable metal halide wallwash *Fitting pre-wired with Wieland ST18 connector for fast installation *Requires control gear, (ordered seperately)**",69,2,4,8,23,,0,0,0,0,,1,150,CDM-TC,0,,20,1 x 150w  CDM-TC,0,,,,186,,,,A18 14872,,,,,,175,144,,70,,,1,,,,,,,,
A18 14870,Ansell,AN A35RG,products/AN A35RG,48.00,60.00,48.00,39.00,48.00,45.00,B,0,0,0,0.00,0,1,35W Metal Halide Control Gear ,,190,,,,,,0,0,0,0,,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
A18 14871,Ansell,AN A70RG,products/AN A70RG,48.00,60.00,48.00,39.00,48.00,45.00,B,0,0,0,0.00,0,1,70W  Metal Halide Control Gear ,,190,,,,,,0,0,0,0,,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
A18 14872,Ansell,AN A150RG,products/AN A150RG,58.00,72.00,58.00,46.49,57.60,54.00,B,0,0,0,0.00,0,1,150W Metal Halide Control Gear ,,190,,,,,,0,0,0,0,,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
A18 15120,Ansell,AN AANCLED/B,products/AN AANCLED-B,80.00,89.00,89.00,57.33,71.20,66.75,ABCD,0,0,0,0.00,0,1,LED Oval Bulkhead Black,LED Oval Bulkhead Black. *All Polycarbonate suitable for wall or ceiling applications. *Supplies with both plain and eyelid diffusers *Non-dimmable *Available in Black or White **,78*81,2,,7,2,,772,4000,0,80,40000,0,0,0,0,,66,12W LED 4000K,0,,230,325,,95,,,,,,,,,,,,,,,1,,,,,,,,
A18 15121,Ansell,AN AANCLED/W,products/AN AANCLED-W,80.00,89.00,89.00,57.33,71.20,66.75,ABCD,0,0,0,0.00,0,1,LED Oval Bulkhead White,LED Oval Bulkhead White. *All Polycarbonate suitable for wall or ceiling applications. *Supplies with both plain and eyelid diffusers *Non-dimmable *Available in Black or White **,78*81,2,,7,23,,772,4000,0,80,40000,0,0,0,0,,66,12W LED 4000K,0,,230,325,,95,,,,,,,,,,,,,,,1,,,,,,,,
A18 15400,Ansell,AN AAN 226/HF,products/AN AAN 226-HF,110.00,137.00,110.00,88.90,109.60,102.75,B,0,0,0,0.00,0,1,Outdoor Wall Light Black,*Die-cast aluminium construction with opal polycarbonate diffuser *Halo light spill feature* Available as 2 x 26W PL-C or 20W Cool White LED**,78*81,2,,8,2,,0,0,0,0,,2,26,PL-C,G24d-3,,65,2 x 26w G24d-3 PL-C,20W LED,,,,325,125,,,,,,,,,,,,,,,1,,,,,,,,
A18 15401,Ansell,AN AAN 226/SG/HF,products/AN AAN 226-SG-HF,110.00,137.00,110.00,88.90,109.60,102.75,B,0,0,0,0.00,0,1,Outdoor Wall Light Silver Grey,*Die-cast aluminium construction with opal polycarbonate diffuser *Halo light spill feature* Available as 2 x 26W PL-C or 20W Cool White LED**,78*81,2,,8,34,,0,0,0,0,,2,26,PL-C,G24d-3,,65,2 x 26w G24d-3 PL-C,20W LED,,,,325,125,,,,,,,,,,,,,,,1,,,,,,,,
